Messung,Latenz_tz, Latenz_ns
446, 89, 29.67
447, 83, 27.67
448, 88, 29.33
449, 90, 30.00
450, 86, 28.67
451, 84, 28.00
452, 86, 28.67
453, 86, 28.67
454, 84, 28.00
455, 84, 28.00
456, 86, 28.67
457, 88, 29.33
458, 83, 27.67
459, 81, 27.00
460, 83, 27.67
461, 83, 27.67
462, 83, 27.67
463, 87, 29.00
464, 89, 29.67
465, 89, 29.67
466, 85, 28.33
467, 85, 28.33
468, 85, 28.33
469, 89, 29.67
470, 89, 29.67
471, 89, 29.67
472, 89, 29.67
473, 83, 27.67
474, 88, 29.33
475, 88, 29.33
476, 88, 29.33
477, 88, 29.33
478, 88, 29.33
479, 86, 28.67
480, 84, 28.00
481, 82, 27.33
482, 88, 29.33
483, 87, 29.00
484, 87, 29.00
485, 89, 29.67
486, 85, 28.33
487, 83, 27.67
488, 85, 28.33
489, 89, 29.67
490, 89, 29.67
491, 87, 29.00
492, 87, 29.00
493, 87, 29.00
494, 89, 29.67
495, 89, 29.67
496, 89, 29.67
497, 89, 29.67
498, 89, 29.67
499, 85, 28.33
500, 83, 27.67
501, 88, 29.33
502, 88, 29.33
503, 88, 29.33
504, 84, 28.00
505, 86, 28.67
506, 86, 28.67
507, 84, 28.00
508, 84, 28.00
509, 86, 28.67
510, 88, 29.33
511, 83, 27.67
512, 81, 27.00
513, 83, 27.67
514, 83, 27.67
515, 89, 29.67
516, 87, 29.00
517, 89, 29.67
518, 85, 28.33
519, 85, 28.33
520, 83, 27.67
521, 85, 28.33
522, 85, 28.33
523, 89, 29.67
524, 89, 29.67
525, 85, 28.33
526, 85, 28.33
527, 87, 29.00
528, 83, 27.67
529, 88, 29.33
530, 88, 29.33
531, 86, 28.67
532, 84, 28.00
533, 86, 28.67
534, 86, 28.67
535, 84, 28.00
536, 84, 28.00
537, 86, 28.67
538, 85, 28.33
539, 87, 29.00
540, 89, 29.67
541, 89, 29.67
542, 91, 30.33
543, 89, 29.67
544, 87, 29.00
545, 89, 29.67
546, 89, 29.67
547, 87, 29.00
548, 87, 29.00
549, 87, 29.00
550, 89, 29.67
551, 85, 28.33
552, 85, 28.33
553, 85, 28.33
554, 87, 29.00
555, 83, 27.67
556, 88, 29.33
557, 88, 29.33
558, 88, 29.33
559, 88, 29.33
560, 86, 28.67
561, 86, 28.67
562, 84, 28.00
563, 84, 28.00
564, 86, 28.67
565, 88, 29.33
566, 83, 27.67
567, 81, 27.00
568, 83, 27.67
569, 83, 27.67
570, 89, 29.67
571, 197, 65.67
572, 87, 29.00
573, 87, 29.00
574, 87, 29.00
575, 85, 28.33
576, 83, 27.67
577, 82, 27.33
578, 86, 28.67
579, 86, 28.67
580, 86, 28.67
581, 84, 28.00
582, 82, 27.33
583, 82, 27.33
584, 82, 27.33
585, 86, 28.67
586, 81, 27.00
587, 81, 27.00
588, 87, 29.00
589, 89, 29.67
590, 87, 29.00
591, 87, 29.00
592, 85, 28.33
593, 87, 29.00
594, 85, 28.33
595, 85, 28.33
596, 85, 28.33
597, 87, 29.00
598, 85, 28.33
599, 87, 29.00
600, 87, 29.00
601, 87, 29.00
602, 83, 27.67
603, 81, 27.00
604, 86, 28.67
605, 86, 28.67
606, 86, 28.67
607, 82, 27.33
608, 84, 28.00
609, 80, 26.67
610, 84, 28.00
611, 86, 28.67
612, 81, 27.00
613, 81, 27.00
614, 87, 29.00
615, 89, 29.67
616, 87, 29.00
617, 87, 29.00
618, 81, 27.00
619, 83, 27.67
620, 83, 27.67
621, 81, 27.00
622, 83, 27.67
623, 87, 29.00
624, 81, 27.00
625, 81, 27.00
626, 83, 27.67
627, 85, 28.33
628, 83, 27.67
629, 84, 28.00
